ID,Day,Task,Rater,Pitch,Tempo,Rhythm,Articulation,Confident,Dynamics,Flow,Projection,Mood,Ideas,Musicality,Overall_Impression
T001,2,Var,Ilonka,4,5,4,3,3,4,3,4,3,3,3,3
T001,2,QA,Ilonka,5,6,5,5,4,6,5,4,6,6,5,5
T001,4,Var,Ilonka,5,4,4,4,3,4,3,3,3,3,3,3
T001,4,QA,Ilonka,5,6,6,5,4,5,4,5,4,5,4,5
T001,2,Var,Sandi,2,3,2,5,4,5,3,3,2,2,3,3
T001,2,QA,Sandi,6,4,2,5,4,6,3,6,3,2,3,2
T001,4,Var,Sandi,4,2,2,3,4,5,3,2,1,1,1,2
T001,4,QA,Sandi,6,7,6,7,7,6,7,7,7,6,6,7
T001,2,Var,Marco,5,5,4,4,3,3,4,3,2,2,3,3
T001,2,QA,Marco,3,3,5,4,4,2,4,4,3,3,2,4
T001,4,Var,Marco,4,4,3,2,2,1,1,3,3,2,2,3
T001,4,QA,Marco,6,6,6,5,6,5,6,5,5,6,6,5
T002,2,Var,Ilonka,4,5,3,3,3,4,4,3,3,3,3,3
T002,2,QA,Ilonka,5,4,5,5,5,4,5,5,4,5,4,5
T002,4,Var,Ilonka,5,5,3,4,3,4,4,3,3,3,3,3
T002,4,QA,Ilonka,5,5,3,4,3,5,3,4,4,4,4,4
T002,2,Var,Sandi,3,5,1,1,1,2,1,1,3,3,2,2
T002,2,QA,Sandi,5,5,6,6,6,5,4,5,4,5,6,6
T002,4,Var,Sandi,4,1,1,3,2,3,1,2,1,1,4,1
T002,4,QA,Sandi,5,7,6,5,7,6,4,6,7,6,6,6
T002,2,Var,Marco,3,3,2,4,3,3,2,3,2,3,4,3
T002,2,QA,Marco,4,5,5,4,3,5,5,5,4,5,5,5
T002,4,Var,Marco,4,4,4,5,5,5,4,5,5,5,4,5
T002,4,QA,Marco,6,7,7,7,7,6,6,7,6,6,7,6
T003,2,Var,Ilonka,3,5,4,4,4,5,4,4,5,5,4,4
T003,2,QA,Ilonka,4,5,4,3,4,5,4,4,4,4,4,4
T003,4,Var,Ilonka,4,4,3,4,4,4,4,3,4,4,4,4
T003,4,QA,Ilonka,5,5,4,3,5,4,4,4,4,4,4,4
T003,2,Var,Sandi,2,1,1,3,1,2,1,2,2,3,2,2
T003,2,QA,Sandi,6,6,5,5,5,6,6,6,6,6,6,6
T003,4,Var,Sandi,2,1,1,1,1,1,1,1,1,1,1,1
T003,4,QA,Sandi,5,6,6,6,6,6,6,6,6,7,7,6
T003,2,Var,Marco,3,3,4,5,5,4,3,3,4,3,3,3
T003,2,QA,Marco,3,4,2,3,5,6,5,5,4,6,5,4
T003,4,Var,Marco,5,5,6,4,4,3,4,3,3,3,4,4
T003,4,QA,Marco,6,7,6,6,7,6,6,7,7,7,7,7
T004,2,Var,Ilonka,3,3,3,3,3,4,4,3,3,4,3,3
T004,2,QA,Ilonka,3,4,3,4,3,4,4,3,3,4,3,3
T004,4,Var,Ilonka,3,4,3,3,4,4,4,4,4,5,4,4
T004,4,QA,Ilonka,3,4,4,4,4,4,4,4,4,5,4,4
T004,2,Var,Sandi,6,1,3,6,7,6,0,6,4,3,3,3
T004,2,QA,Sandi,6,6,6,6,6,5,6,6,5,3,6,4
T004,4,Var,Sandi,6,6,1,4,4,5,3,3,3,1,1,3
T004,4,QA,Sandi,5,5,5,6,6,6,6,6,5,4,5,5
T004,2,Var,Marco,4,3,3,5,6,5,4,4,5,6,4,4
T004,2,QA,Marco,3,4,5,3,5,3,4,4,3,3,3,4
T004,4,Var,Marco,6,7,6,6,7,5,7,6,4,6,6,6
T004,4,QA,Marco,3,4,4,4,5,5,3,3,4,5,3,4
T005,2,Var,Ilonka,3,4,3,3,4,4,4,3,4,3,3,3
T005,2,QA,Ilonka,5,5,4,5,5,4,4,5,4,5,4,4
T005,4,Var,Ilonka,4,5,4,5,4,4,5,4,4,5,4,4
T005,4,QA,Ilonka,5,5,4,5,4,4,4,4,4,5,4,4
T005,2,Var,Sandi,3,5,5,4,3,4,6,6,4,2,2,4
T005,2,QA,Sandi,5,5,5,5,5,5,3,6,2,2,2,2
T005,4,Var,Sandi,5,4,4,3,5,4,3,4,3,3,4,4
T005,4,QA,Sandi,5,6,6,6,6,6,6,6,5,5,5,6
T005,2,Var,Marco,2,5,5,4,5,3,3,4,3,5,4,4
T005,2,QA,Marco,3,3,3,4,4,4,3,3,3,5,3,3
T005,4,Var,Marco,3,5,6,5,6,5,4,6,6,5,4,5
T005,4,QA,Marco,3,5,5,4,5,5,5,5,4,6,5,5
T006,2,Var,Ilonka,4,5,5,3,4,4,5,3,4,4,4,4
T006,2,QA,Ilonka,5,6,5,5,5,4,6,5,5,5,4,5
T006,4,Var,Ilonka,4,5,5,4,4,4,5,4,4,4,4,5
T006,4,QA,Ilonka,4,5,5,4,4,4,5,3,4,4,4,4
T006,2,Var,Sandi,5,5,5,5,6,5,6,6,6,6,6,6
T006,2,QA,Sandi,3,6,6,5,2,3,6,2,6,6,7,6
T006,4,Var,Sandi,4,4,2,4,4,3,4,3,5,5,5,5
T006,4,QA,Sandi,6,7,7,7,7,6,7,7,7,7,7,7
T006,2,Var,Marco,6,5,5,4,5,5,3,4,4,6,6,5
T006,2,QA,Marco,6,6,6,7,5,7,7,6,6,6,7,6
T006,4,Var,Marco,5,6,6,7,7,6,7,7,7,7,7,7
T006,4,QA,Marco,5,6,6,5,5,4,4,5,4,5,4,5
