ID	Day	Task	Rater	Pitch	Tempo	Rhythm	Articulation	Confident	Dynamics	Flow	Projection	Mood	Ideas	Musicality	Overall_Impression
T001	2	Var	Ave	3.7	4.3	3.3	4.0	3.3	4.0	3.3	3.3	2.3	2.3	3.0	3.0
T001	2	QA	Ave	4.7	4.3	4.0	4.7	4.0	4.7	4.0	4.7	4.0	3.7	3.3	3.7
T001	4	Var	Ave	4.3	3.3	3.0	3.0	3.0	3.3	2.3	2.7	2.3	2.0	2.0	2.7
T001	4	QA	Ave	5.7	6.3	6.0	5.7	5.7	5.3	5.7	5.7	5.3	5.7	5.3	5.7
T002	2	Var	Ave	3.3	4.3	2.0	2.7	2.3	3.0	2.3	2.3	2.7	3.0	3.0	2.7
T002	2	QA	Ave	4.7	4.7	5.3	5.0	4.7	4.7	4.7	5.0	4.0	5.0	5.0	5.3
T002	4	Var	Ave	4.3	3.3	2.7	4.0	3.3	4.0	3.0	3.3	3.0	3.0	3.7	3.0
T002	4	QA	Ave	5.3	6.3	5.3	5.3	5.7	5.7	4.3	5.7	5.7	5.3	5.7	5.3
T003	2	Var	Ave	2.7	3.0	3.0	4.0	3.3	3.7	2.7	3.0	3.7	3.7	3.0	3.0
T003	2	QA	Ave	4.3	5.0	3.7	3.7	4.7	5.7	5.0	5.0	4.7	5.3	5.0	4.7
T003	4	Var	Ave	3.7	3.3	3.3	3.0	3.0	2.7	3.0	2.3	2.7	2.7	3.0	3.0
T003	4	QA	Ave	5.3	6.0	5.3	5.0	6.0	5.3	5.3	5.7	5.7	6.0	6.0	5.7
T004	2	Var	Ave	4.3	2.3	3.0	4.7	5.3	5.0	2.7	4.3	4.0	4.3	3.3	3.3
T004	2	QA	Ave	4.0	4.7	4.7	4.3	4.7	4.0	4.7	4.3	3.7	3.3	4.0	3.7
T004	4	Var	Ave	5.0	5.7	3.3	4.3	5.0	4.7	4.7	4.3	3.7	4.0	3.7	4.3
T004	4	QA	Ave	3.7	4.3	4.3	4.7	5.0	5.0	4.3	4.3	4.3	4.7	4.0	4.3
T005	2	Var	Ave	2.7	4.7	4.3	3.7	4.0	3.7	4.3	4.3	3.7	3.3	3.0	3.7
T005	2	QA	Ave	4.3	4.3	4.0	4.7	4.7	4.3	3.3	4.7	3.0	4.0	3.0	3.0
T005	4	Var	Ave	4.0	4.7	4.7	4.3	5.0	4.3	4.0	4.7	4.3	4.3	4.0	4.3
T005	4	QA	Ave	4.3	5.3	5.0	5.0	5.0	5.0	5.0	5.0	4.3	5.3	4.7	5.0
T006	2	Var	Ave	5.0	5.0	5.0	4.0	5.0	4.7	4.7	4.3	4.7	5.3	5.3	5.0
T006	2	QA	Ave	4.7	6.0	5.7	5.7	4.0	4.7	6.3	4.3	5.7	5.7	6.0	5.7
T006	4	Var	Ave	4.3	5.0	4.3	5.0	5.0	4.3	5.3	4.7	5.3	5.3	5.3	5.7
T006	4	QA	Ave	5.0	6.0	6.0	5.3	5.3	4.7	5.3	5.0	5.0	5.3	5.0	5.3
